service_name,category_tree
MANICURE + L+ S,Mani
SMALTO ,Varie
LASER MENTO, Laser
CIUFFETTI CIGLIA,Ciglia
CERA COSCIA,Epilazione
CERA GAMBALETTO,Epilazione
LASER BAFFO, Laser
SOPRACCIGLIA,Epilazione
CERA LABBRO,Epilazione
HENNè SOPRACCIGLIA,Dermopigmentazione 
TRATTAMENTO CELLULITE/ADIPE FANGO,Corpo
LASER PANCIA, Laser
Rimozione semipermanente ,Mani
SEMIPERMANENTE CON RINFORZO,Mani
LASER INGUINE , Laser
TRATTAMENTO OCCHI,Viso
Piega,""
Taglio Capelli lunghi,""
Ritocco colore,""
Colore Completo,""
Meches,""
Punti Luce,""
Shatush,""
Degradè ,""
Permanente,""
Stiratura Crema,""
Extension 100 ciocche,""
Keratina Lisciante,""
Piastra,""
Shampoo Specifico,""
Maschera Specifici,""
Taglio Capelli corti,""
Shampoo,""
Colore ricrescita,Colore
Colore senza ammoniaca,Colore
Decolorazione,Colore
Pettinata,Piega
Piastra,Piega
Shampoo,Trattamento
Taglio,Taglio > Bundle
Consulenza ad hoc ,""
Taglio,Servizi Uomo
Shampoo + Taglio,Servizi Uomo
Shampoo + Lozione,Servizi Uomo
Lozione,Servizi Uomo
Barba,Servizi Uomo
Sfumatura,Servizi Uomo
Shampo e Piega (capelli corti),Servizi Donna
Shampo e Piega (capelli media lunghezza),Servizi Donna
Shampo e Piega (capelli lunghi),Servizi Donna
"Shampo, Taglio e Piega (capelli corti)",Servizi Donna
"Shampo, Taglio e Piega (capelli media lunghezza)",Servizi Donna
"Shampo, Taglio e Piega (capelli lunghi)",Servizi Donna
Shampoo + Taglio + barba,Servizi Uomo
Taglio e Barba,Servizi Uomo
Taglio bambino,Servizi Uomo
Pettinata,Servizi Donna
App. Colore,Servizi Uomo
App. Stiraggio ,Servizi Uomo
Depilazione Labbro ,Depilazione Donna
Depilazione Sopracciglia,Depilazione Donna
Depilazione Inguine,Depilazione Donna
Depilazione Ascelle,Depilazione Donna
Depilazione Braccia,Depilazione Donna
Depilazione Gambe ( piu inguine),Depilazione Donna
Depilazione Gambaletto O Coscia,Depilazione Donna
"Depilazione Totale (gamba intera,ascelle,braccia)",Depilazione Donna
Manicure,Trattamenti Mani
Manicure Con Paraffina,Trattamenti Mani
Applicazione smalto,Trattamenti Mani
Limata Più Applicazione Smalto,Trattamenti Mani
Ricostruzione in Acrilico,Trattamenti Mani
Ricostruzione in Gel,Trattamenti Mani
Copertura acrilico,Trattamenti Mani
Copertura Gel,Trattamenti Mani
Semipermanente Mani,Trattamenti Mani
Scrub Corpo ,Trattamenti Corpo
Scrub Più Massaggio,Trattamenti Corpo
Massaggio Totale Relax,Trattamenti Corpo
Massaggio Parziale Relax,Trattamenti Corpo
Massaggio Decontratturante,Trattamenti Corpo
Massaggio Anticellulite,Trattamenti Corpo
Massaggio Rassodante,Trattamenti Corpo
Massaggio Linfodrenante,Trattamenti Corpo
Bendaggio,Trattamenti Corpo
Pedicure Curativo,Trattamenti Piedi
Pedicure Con Paraffina,Trattamenti Piedi
Applicazione smalto,Trattamenti Piedi
Limata Più Applicazione Smalto,Trattamenti Piedi
Semipermanente Piedi,Trattamenti Piedi
Ricostruzione Alluci,Trattamenti Piedi
Pulizia Viso,Trattamento Viso
Trattamento Viso,Trattamento Viso
Trucco Sposa,Trucco
Trucco Giorno o Sera ,Trucco
Doccia Solare,Solarium
Esafacciale,Solarium
laser ascelle ,Laser corpo
laser inguine,Laser corpo
laser gambe,Laser corpo
laser braccia,Laser corpo
laser gambaletto,Laser corpo
laser coscia,Laser corpo
laser viso completo,Laser corpo
laser petto uomo,Laser corpo
laser schiena uomo,Laser corpo
laminazione ciglia ,Depilazione Donna
Rimozione semipermanente,Trattamenti Mani
Fango Corpo ,Trattamenti Corpo
Depilazione Labbro*,Depilazione Donna
Depilazione Sopracciglia*,Depilazione Donna
Depilazione Inguine*,Depilazione Donna
Depilazione Ascelle*,Depilazione Donna
Depilazione Braccia*,Depilazione Donna
Depilazione Gambe*,Depilazione Donna
Depilazione Gambaletto O Coscia*,Depilazione Donna
"Depilazione Totale*(gamba totale,inguine,ascelle,braccia)",Depilazione Donna
Manicure*,Trattamenti Mani
Manicure Con Paraffina*,Trattamenti Mani
Applicazione smalto*,Trattamenti Mani
Limata Più Applicazione Smalto*,Trattamenti Mani
Applicazione smalto*,Trattamenti Piedi
Limata Più Applicazione Smalto*,Trattamenti Piedi
Semipermanente Mani*,Trattamenti Mani
Semipermanente Piedi*,Trattamenti Piedi
Scrub Corpo*,Trattamenti Corpo
Pedicure Curativo*,Trattamenti Piedi
Pedicure Con Paraffina*,Trattamenti Piedi
Rimozione semipermanente*,Trattamenti Mani
depilazione inguine + ascelle,Depilazione Donna
Semipermanente mani+piedi,Trattamenti Mani
semipermanente mani+ piedi,Trattamenti Mani
depilazione labbro+ sopracciglia,Depilazione Donna
Endermologika,Trattamenti Corpo
DOCCIA SOLARE PROMO (MARTEDI E VENERDI),Solarium
lase viso,Laser corpo
Depilazione Gambe,Depilazione Uomo
Depilazione Ascelle,Depilazione Uomo
Depilazione Sopracciglia,Depilazione Uomo
depilazione petto,Depilazione Uomo
Depilazione Schiena,Depilazione Uomo
Depilazione Ascelle,Depilazione Uomo
Depilazione Braccia,Depilazione Uomo
esa facciale promo,Solarium
Ricostruzione Acrigel,Trattamenti Mani
Copertura Acrigel,Trattamenti Mani
Solo Taglio,Parrucchiere
Solo Shampoo,Parrucchiere
Barba,Parrucchiere
Barba con panno caldo,Parrucchiere
Stiraggio,Parrucchiere
Tinta,Parrucchiere
Pulizia Collo,Parrucchiere
Shampoo e Barba,Maschile > Barba
Shampoo e Rasatura,Maschile > CAPELLI CORTI
Shampoo e Taglio,Maschile > CAPELLI CORTI
Taglio Bimbo,Maschile > CAPELLI CORTI
Barba con Regolabarba,Maschile > Barba
Barba ,Maschile > Barba
Barba con trattamento,Maschile > Barba
Trattamento Lozione ,Maschile > CAPELLI CORTI
Trattamento Curativo ,Maschile > CAPELLI CORTI
Riflessante ,Non Prenotabili
Shampoo + Piega con phon capelli corti,Femminile > Capelli Corti  > Senza Taglio
Shampoo + Piega con phon capelli medi,Femminile > Capelli Medi > Senza Taglio
Shampoo + Piega con phon capelli lunghi,Femminile > Capelli Lunghi > Senza Taglio
